Data,Vazões
05/06/2016,54.013999999999996
06/06/2016,49.01600000000001
07/06/2016,45.173
08/06/2016,44.233999999999995
09/06/2016,43.303000000000004
10/06/2016,42.382
11/06/2016,39.67
12/06/2016,37.907
13/06/2016,36.179
14/06/2016,34.486999999999995
15/06/2016,33.655
16/06/2016,32.830999999999996
17/06/2016,32.016999999999996
18/06/2016,32.016999999999996
19/06/2016,32.016999999999996
20/06/2016,30.415
21/06/2016,30.415
22/06/2016,30.415
23/06/2016,30.415
24/06/2016,30.415
25/06/2016,30.415
26/06/2016,28.85
27/06/2016,28.85
28/06/2016,28.85
29/06/2016,28.85
30/06/2016,27.322
01/07/2016,27.322
02/07/2016,26.572
03/07/2016,25.83
04/07/2016,25.83
05/07/2016,25.83
06/07/2016,25.83
07/07/2016,25.099
08/07/2016,24.375999999999998
09/07/2016,24.375999999999998
10/07/2016,24.375999999999998
11/07/2016,24.375999999999998
12/07/2016,24.375999999999998
13/07/2016,22.96
14/07/2016,22.266
15/07/2016,21.581
16/07/2016,21.581
17/07/2016,21.581
18/07/2016,21.581
19/07/2016,20.949
20/07/2016,20.328
21/07/2016,20.328
22/07/2016,20.328
23/07/2016,20.328
24/07/2016,20.328
25/07/2016,20.328
26/07/2016,20.328
27/07/2016,20.328
28/07/2016,19.72
29/07/2016,19.124000000000002
30/07/2016,19.124000000000002
31/07/2016,19.124000000000002
01/08/2016,19.124000000000002
02/08/2016,18.83
03/08/2016,18.250999999999998
04/08/2016,17.684
05/08/2016,17.404
06/08/2016,16.854
07/08/2016,16.854
08/08/2016,16.854
09/08/2016,16.316
10/08/2016,16.316
11/08/2016,16.316
12/08/2016,16.051
13/08/2016,15.788
14/08/2016,15.529000000000002
15/08/2016,15.272
16/08/2016,15.272
17/08/2016,15.272
18/08/2016,15.272
19/08/2016,15.272
20/08/2016,15.017999999999999
21/08/2016,16.854
22/08/2016,20.328
23/08/2016,22.96
24/08/2016,22.266
25/08/2016,21.581
26/08/2016,20.636999999999997
27/08/2016,20.949
28/08/2016,17.128
29/08/2016,16.584
30/08/2016,17.965999999999994
31/08/2016,15.017999999999999
01/09/2016,15.788
02/09/2016,15.529000000000002
03/09/2016,15.272
04/09/2016,15.272
05/09/2016,15.529000000000002
06/09/2016,14.029000000000002
07/09/2016,13.788
08/09/2016,13.55
09/09/2016,13.315
10/09/2016,13.083
11/09/2016,12.853
12/09/2016,12.853
13/09/2016,12.401
14/09/2016,12.179
15/09/2016,11.742
16/09/2016,11.315999999999999
17/09/2016,11.107000000000001
18/09/2016,10.9
19/09/2016,11.107000000000001
20/09/2016,10.9
21/09/2016,10.696
22/09/2016,10.696
23/09/2016,10.294
24/09/2016,10.294
25/09/2016,10.294
26/09/2016,10.294
27/09/2016,9.902999999999999
28/09/2016,9.902999999999999
29/09/2016,9.902999999999999
30/09/2016,9.902999999999999
01/10/2016,9.521
02/10/2016,8.787
03/10/2016,10.294
04/10/2016,22.266
05/10/2016,24.375999999999998
06/10/2016,22.96
07/10/2016,20.949
08/10/2016,19.124000000000002
09/10/2016,19.124000000000002
10/10/2016,19.124000000000002
11/10/2016,20.328
12/10/2016,20.328
13/10/2016,17.965999999999994
14/10/2016,17.965999999999994
15/10/2016,17.965999999999994
16/10/2016,17.684
17/10/2016,17.684
18/10/2016,17.684
19/10/2016,16.051
20/10/2016,17.684
21/10/2016,17.965999999999994
22/10/2016,19.72
23/10/2016,18.539
24/10/2016,17.965999999999994
25/10/2016,17.965999999999994
26/10/2016,17.965999999999994
27/10/2016,17.404
28/10/2016,16.051
29/10/2016,15.272
30/10/2016,13.788
31/10/2016,13.083
01/12/2016,15.788
02/12/2016,17.404
03/12/2016,65.205
04/12/2016,56.074
05/12/2016,46.12
06/12/2016,29.238000000000003
07/12/2016,15.788
08/12/2016,69.712
09/12/2016,69.712
10/12/2016,69.141
11/12/2016,62.456
12/12/2016,56.593999999999994
